,ticker,year,IT,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
42,ADI,2016,0.5863,0.404,0.5863,0.5164,,,
43,ADI,2017,0.4836,0.5592,0.5863,0.5863,0.5164,,
44,ADI,2018,0.5315,0.4724,0.4836,0.5863,0.5863,0.5164,
45,ADI,2019,0.5135,0.5058,0.5315,0.4836,0.5863,0.5863,0.5164
46,ADI,2020,0.4897,0.3266,0.5135,0.5315,0.4836,0.5863,0.5863
47,ADI,2021,0.4085,0.3374,0.4897,0.5135,0.5315,0.4836,0.5863
48,ADI,2022,0.5805,0.3913,0.4085,0.4897,0.5135,0.5315,0.4836
49,ADI,2023,0.4119,0.3313,0.5805,0.4085,0.4897,0.5135,0.5315
50,ADP,2014,0.6121,0.5491,,,,,
51,ADP,2015,0.5307,0.4856,0.6121,,,,
52,ADP,2016,0.4247,0.508,0.5307,0.6121,,,
53,ADP,2017,0.5308,0.5241,0.4247,0.5307,0.6121,,
54,ADP,2018,0.5558,0.4797,0.5308,0.4247,0.5307,0.6121,
55,ADP,2019,0.5658,0.4955,0.5558,0.5308,0.4247,0.5307,0.6121
56,ADP,2020,0.5158,0.5285,0.5658,0.5558,0.5308,0.4247,0.5307
57,ADP,2021,0.5377,0.4965,0.5158,0.5658,0.5558,0.5308,0.4247
58,ADP,2022,0.5552,0.4984,0.5377,0.5158,0.5658,0.5558,0.5308
59,ADP,2023,0.5258,0.5197,0.5552,0.5377,0.5158,0.5658,0.5558
60,AMAT,2014,0.5235,0.4267,,,,,
61,AMAT,2015,0.4498,0.4403,0.5235,,,,
62,AMAT,2016,0.4493,0.4622,0.4498,0.5235,,,
63,AMAT,2017,0.6328,0.3812,0.4493,0.4498,0.5235,,
64,AMAT,2018,0.373,0.5052,0.6328,0.4493,0.4498,0.5235,
65,AMAT,2019,0.4849,0.5004,0.373,0.6328,0.4493,0.4498,0.5235
66,AMAT,2020,0.5287,0.5754,0.4849,0.373,0.6328,0.4493,0.4498
67,AMAT,2021,0.5255,0.4716,0.5287,0.4849,0.373,0.6328,0.4493
68,AMAT,2022,0.466,0.4326,0.5255,0.5287,0.4849,0.373,0.6328
69,AMAT,2023,0.5766,0.4463,0.466,0.5255,0.5287,0.4849,0.373
70,AMD,2014,0.625,0.4253,,,,,
71,AMD,2015,0.6172,0.3339,0.625,,,,
72,AMD,2016,0.6538,0.4451,0.6172,0.625,,,
73,AMD,2017,0.6134,0.5039,0.6538,0.6172,0.625,,
74,AMD,2018,0.6119,0.4233,0.6134,0.6538,0.6172,0.625,
75,AMD,2019,0.5955,0.4124,0.6119,0.6134,0.6538,0.6172,0.625
76,AMD,2020,0.5924,0.4449,0.5955,0.6119,0.6134,0.6538,0.6172
77,AMD,2021,0.5026,0.4274,0.5924,0.5955,0.6119,0.6134,0.6538
78,AMD,2022,0.5623,0.4279,0.5026,0.5924,0.5955,0.6119,0.6134
79,AMD,2023,0.5875,0.4581,0.5623,0.5026,0.5924,0.5955,0.6119
80,AMGN,2014,0.4381,0.3184,,,,,
81,AMGN,2015,0.433,0.1948,0.4381,,,,
82,AMGN,2016,0.4176,0.4341,0.433,0.4381,,,
83,AMGN,2017,0.4551,0.3339,0.4176,0.433,0.4381,,
84,AMGN,2018,0.5401,0.3331,0.4551,0.4176,0.433,0.4381,
85,AMGN,2019,0.1811,0.1924,0.5401,0.4551,0.4176,0.433,0.4381
86,AMGN,2020,0.5556,0.3976,0.1811,0.5401,0.4551,0.4176,0.433
87,AMGN,2021,0.5416,0.4054,0.5556,0.1811,0.5401,0.4551,0.4176
88,AMGN,2022,0.5177,0.1923,0.5416,0.5556,0.1811,0.5401,0.4551
89,AMGN,2023,0.5847,0.3962,0.5177,0.5416,0.5556,0.1811,0.5401
90,AMT,2014,0.4127,0.5359,,,,,
91,AMT,2015,0.508,0.2858,0.4127,,,,
92,AMT,2016,0.5101,0.3147,0.508,0.4127,,,
93,AMT,2017,0.3528,0.2286,0.5101,0.508,0.4127,,
94,AMT,2018,0.4479,0.3269,0.3528,0.5101,0.508,0.4127,
95,AMT,2019,0.4751,0.2522,0.4479,0.3528,0.5101,0.508,0.4127
96,AMT,2020,0.3957,0.2699,0.4751,0.4479,0.3528,0.5101,0.508
97,AMT,2021,0.413,0.3209,0.3957,0.4751,0.4479,0.3528,0.5101
98,AMT,2022,0.457,0.337,0.413,0.3957,0.4751,0.4479,0.3528
99,AMT,2023,0.4344,0.2608,0.457,0.413,0.3957,0.4751,0.4479
100,AMZN,2014,0.5682,0.5305,,,,,
101,AMZN,2015,0.4892,0.5029,0.5682,,,,
102,AMZN,2016,0.5445,0.4943,0.4892,0.5682,,,
103,AMZN,2017,0.5381,0.4733,0.5445,0.4892,0.5682,,
104,AMZN,2018,0.5426,0.4886,0.5381,0.5445,0.4892,0.5682,
105,AMZN,2019,0.5162,0.4562,0.5426,0.5381,0.5445,0.4892,0.5682
106,AMZN,2020,0.5018,0.502,0.5162,0.5426,0.5381,0.5445,0.4892
107,AMZN,2021,0.502,0.4968,0.5018,0.5162,0.5426,0.5381,0.5445
108,AMZN,2022,0.4957,0.4589,0.502,0.5018,0.5162,0.5426,0.5381
109,AMZN,2023,0.5019,0.5163,0.4957,0.502,0.5018,0.5162,0.5426
110,ANET,2014,0.3318,0.3878,,,,,
111,ANET,2015,0.6107,0.4801,0.3318,,,,
112,ANET,2016,0.5365,0.4325,0.6107,0.3318,,,
113,ANET,2017,0.5027,0.4741,0.5365,0.6107,0.3318,,
114,ANET,2018,0.4737,0.4107,0.5027,0.5365,0.6107,0.3318,
115,ANET,2019,0.4968,0.4448,0.4737,0.5027,0.5365,0.6107,0.3318
116,ANET,2020,0.4384,0.3923,0.4968,0.4737,0.5027,0.5365,0.6107
117,ANET,2021,0.4261,0.3775,0.4384,0.4968,0.4737,0.5027,0.5365
118,ANET,2022,0.4806,0.4302,0.4261,0.4384,0.4968,0.4737,0.5027
119,ANET,2023,0.4284,0.4171,0.4806,0.4261,0.4384,0.4968,0.4737
120,APH,2014,0.4657,0.33,,,,,
121,APH,2015,0.4407,0.4801,0.4657,,,,
122,APH,2016,0.5814,0.4681,0.4407,0.4657,,,
123,APH,2017,0.5711,0.4272,0.5814,0.4407,0.4657,,
124,APH,2018,0.4839,0.429,0.5711,0.5814,0.4407,0.4657,
125,APH,2019,0.5977,0.5777,0.4839,0.5711,0.5814,0.4407,0.4657
126,APH,2020,0.56,0.4728,0.5977,0.4839,0.5711,0.5814,0.4407
127,APH,2021,0.535,0.5336,0.56,0.5977,0.4839,0.5711,0.5814
128,APH,2022,0.6466,0.4843,0.535,0.56,0.5977,0.4839,0.5711
129,APH,2023,0.5767,0.4797,0.6466,0.535,0.56,0.5977,0.4839
130,AVGO,2014,0.4949,0.4091,,,,,
131,AVGO,2015,0.497,0.3876,0.4949,,,,
132,AVGO,2016,0.5048,0.3767,0.497,0.4949,,,
133,AVGO,2017,0.4957,0.4159,0.5048,0.497,0.4949,,
134,AVGO,2018,0.513,0.4789,0.4957,0.5048,0.497,0.4949,
135,AVGO,2019,0.794,0.4016,0.513,0.4957,0.5048,0.497,0.4949
136,AVGO,2020,0.6055,0.5179,0.794,0.513,0.4957,0.5048,0.497
137,AVGO,2021,0.4645,0.5159,0.6055,0.794,0.513,0.4957,0.5048
138,AVGO,2022,0.5484,0.4835,0.4645,0.6055,0.794,0.513,0.4957
139,AVGO,2023,0.6031,0.4685,0.5484,0.4645,0.6055,0.794,0.513
140,AXP,2014,0.5215,0.5025,,,,,
141,AXP,2015,0.5379,0.3729,0.5215,,,,
142,AXP,2016,0.562,0.48,0.5379,0.5215,,,
143,AXP,2017,0.4871,0.4641,0.562,0.5379,0.5215,,
144,AXP,2018,0.4506,0.4509,0.4871,0.562,0.5379,0.5215,
145,AXP,2019,0.6115,0.5393,0.4506,0.4871,0.562,0.5379,0.5215
146,AXP,2020,0.517,0.7079,0.6115,0.4506,0.4871,0.562,0.5379
147,AXP,2021,0.5306,0.5393,0.517,0.6115,0.4506,0.4871,0.562
148,AXP,2022,0.5199,0.4981,0.5306,0.517,0.6115,0.4506,0.4871
149,AXP,2023,0.6379,0.6333,0.5199,0.5306,0.517,0.6115,0.4506
150,BA,2014,0.3924,0.4551,,,,,
151,BA,2015,0.3988,0.5001,0.3924,,,,
152,BA,2016,0.3325,0.3502,0.3988,0.3924,,,
153,BA,2017,0.3296,0.3865,0.3325,0.3988,0.3924,,
154,BA,2018,0.3989,0.3995,0.3296,0.3325,0.3988,0.3924,
155,BA,2019,0.4315,0.3894,0.3989,0.3296,0.3325,0.3988,0.3924
156,BA,2020,0.4276,0.3849,0.4315,0.3989,0.3296,0.3325,0.3988
157,BA,2021,0.327,0.4166,0.4276,0.4315,0.3989,0.3296,0.3325
158,BA,2022,0.4074,0.3837,0.327,0.4276,0.4315,0.3989,0.3296
159,BA,2023,0.4148,0.4023,0.4074,0.327,0.4276,0.4315,0.3989
160,BAC,2014,0.5664,0.5561,,,,,
161,BAC,2015,0.3806,0.4518,0.5664,,,,
162,BAC,2016,0.5845,0.5709,0.3806,0.5664,,,
163,BAC,2017,0.5683,0.5198,0.5845,0.3806,0.5664,,
164,BAC,2018,0.6288,0.5086,0.5683,0.5845,0.3806,0.5664,
165,BAC,2019,0.5636,0.5114,0.6288,0.5683,0.5845,0.3806,0.5664
166,BAC,2020,0.6435,0.6573,0.5636,0.6288,0.5683,0.5845,0.3806
167,BAC,2021,0.7047,0.5131,0.6435,0.5636,0.6288,0.5683,0.5845
168,BAC,2022,0.7484,0.5564,0.7047,0.6435,0.5636,0.6288,0.5683
169,BAC,2023,0.6138,0.7064,0.7484,0.7047,0.6435,0.5636,0.6288
170,BKNG,2014,0.8429,0.4622,,,,,
171,BKNG,2015,0.5958,0.3948,0.8429,,,,
172,BKNG,2016,0.4363,0.3804,0.5958,0.8429,,,
173,BKNG,2017,0.3748,0.4106,0.4363,0.5958,0.8429,,
174,BKNG,2018,0.3929,0.4257,0.3748,0.4363,0.5958,0.8429,
175,BKNG,2019,0.4416,0.4615,0.3929,0.3748,0.4363,0.5958,0.8429
176,BKNG,2020,0.3713,0.4422,0.4416,0.3929,0.3748,0.4363,0.5958
177,BKNG,2021,0.5042,0.4385,0.3713,0.4416,0.3929,0.3748,0.4363
178,BKNG,2022,0.5373,0.4674,0.5042,0.3713,0.4416,0.3929,0.3748
179,BKNG,2023,0.4502,0.4544,0.5373,0.5042,0.3713,0.4416,0.3929
180,BLK,2014,0.4633,0.4813,,,,,
181,BLK,2015,0.4002,0.4419,0.4633,,,,
182,BLK,2016,0.4325,0.519,0.4002,0.4633,,,
183,BLK,2017,0.5884,0.4249,0.4325,0.4002,0.4633,,
184,BLK,2018,0.5413,0.4983,0.5884,0.4325,0.4002,0.4633,
185,BLK,2019,0.3814,0.4994,0.5413,0.5884,0.4325,0.4002,0.4633
186,BLK,2020,0.3832,0.5428,0.3814,0.5413,0.5884,0.4325,0.4002
187,BLK,2021,0.3613,0.538,0.3832,0.3814,0.5413,0.5884,0.4325
188,BLK,2022,0.3542,0.4779,0.3613,0.3832,0.3814,0.5413,0.5884
189,BLK,2023,0.3681,0.4875,0.3542,0.3613,0.3832,0.3814,0.5413
190,BMY,2014,0.4473,0.1805,,,,,
191,BMY,2015,0.5,0.2783,0.4473,,,,
192,BMY,2016,0.5078,0.4433,0.5,0.4473,,,
193,BMY,2017,0.4978,0.2375,0.5078,0.5,0.4473,,
194,BMY,2018,0.503,0.2179,0.4978,0.5078,0.5,0.4473,
195,BMY,2019,0.5105,0.1728,0.503,0.4978,0.5078,0.5,0.4473
196,BMY,2020,0.5073,0.3575,0.5105,0.503,0.4978,0.5078,0.5
197,BMY,2021,0.4635,0.3223,0.5073,0.5105,0.503,0.4978,0.5078
198,BMY,2022,0.4513,0.2743,0.4635,0.5073,0.5105,0.503,0.4978
199,BMY,2023,0.4202,0.2285,0.4513,0.4635,0.5073,0.5105,0.503
200,BRK-B,2014,0.6485,0.5482,,,,,
201,BRK-B,2015,0.6604,0.4994,0.6485,,,,
202,BRK-B,2016,0.6042,0.5746,0.6604,0.6485,,,
203,BRK-B,2017,0.6724,0.5452,0.6042,0.6604,0.6485,,
204,BRK-B,2018,0.7041,0.5326,0.6724,0.6042,0.6604,0.6485,
205,BRK-B,2019,0.584,0.5253,0.7041,0.6724,0.6042,0.6604,0.6485
206,BRK-B,2020,0.5546,0.5354,0.584,0.7041,0.6724,0.6042,0.6604
207,BRK-B,2021,0.7121,0.6003,0.5546,0.584,0.7041,0.6724,0.6042
208,BRK-B,2022,0.5045,0.5592,0.7121,0.5546,0.584,0.7041,0.6724
209,BRK-B,2023,0.5948,0.5758,0.5045,0.7121,0.5546,0.584,0.7041
210,BSX,2014,0.4995,0.3097,,,,,
211,BSX,2015,0.4755,0.2329,0.4995,,,,
212,BSX,2016,0.4708,0.2659,0.4755,0.4995,,,
213,BSX,2017,0.3103,0.3421,0.4708,0.4755,0.4995,,
214,BSX,2018,0.4459,0.3531,0.3103,0.4708,0.4755,0.4995,
215,BSX,2019,0.4125,0.3624,0.4459,0.3103,0.4708,0.4755,0.4995
216,BSX,2020,0.4962,0.4046,0.4125,0.4459,0.3103,0.4708,0.4755
217,BSX,2021,0.5802,0.5034,0.4962,0.4125,0.4459,0.3103,0.4708
218,BSX,2022,0.6005,0.5011,0.5802,0.4962,0.4125,0.4459,0.3103
219,BSX,2023,0.6294,0.4067,0.6005,0.5802,0.4962,0.4125,0.4459
220,BX,2014,0.5383,0.5507,,,,,
221,BX,2015,0.5377,0.5468,0.5383,,,,
222,BX,2016,0.5217,0.4614,0.5377,0.5383,,,
223,BX,2017,0.4423,0.4811,0.5217,0.5377,0.5383,,
224,BX,2018,0.4175,0.4626,0.4423,0.5217,0.5377,0.5383,
225,BX,2019,0.4547,0.5058,0.4175,0.4423,0.5217,0.5377,0.5383
226,BX,2020,0.4876,0.3947,0.4547,0.4175,0.4423,0.5217,0.5377
227,BX,2021,0.474,0.43,0.4876,0.4547,0.4175,0.4423,0.5217
228,BX,2022,0.5049,0.4416,0.474,0.4876,0.4547,0.4175,0.4423
229,BX,2023,0.4609,0.4067,0.5049,0.474,0.4876,0.4547,0.4175
230,C,2014,0.6503,0.6095,,,,,
231,C,2015,0.685,0.2535,0.6503,,,,
232,C,2016,0.1451,0.4147,0.685,0.6503,,,
233,C,2017,0.4542,0.3134,0.1451,0.685,0.6503,,
234,C,2018,0.5571,0.4686,0.4542,0.1451,0.685,0.6503,
235,C,2019,0.4628,0.4713,0.5571,0.4542,0.1451,0.685,0.6503
236,C,2020,0.3547,0.4064,0.4628,0.5571,0.4542,0.1451,0.685
237,C,2021,0.3067,0.2684,0.3547,0.4628,0.5571,0.4542,0.1451
238,C,2022,0.3081,0.4161,0.3067,0.3547,0.4628,0.5571,0.4542
239,C,2023,0.1878,0.2444,0.3081,0.3067,0.3547,0.4628,0.5571
240,CAT,2014,0.5577,0.4449,,,,,
241,CAT,2015,0.5504,0.5848,0.5577,,,,
242,CAT,2016,0.6081,0.4254,0.5504,0.5577,,,
243,CAT,2017,0.5559,0.4226,0.6081,0.5504,0.5577,,
244,CAT,2018,0.5726,0.5095,0.5559,0.6081,0.5504,0.5577,
245,CAT,2019,0.5661,0.652,0.5726,0.5559,0.6081,0.5504,0.5577
246,CAT,2020,0.5587,0.3908,0.5661,0.5726,0.5559,0.6081,0.5504
247,CAT,2021,0.5649,0.4489,0.5587,0.5661,0.5726,0.5559,0.6081
248,CAT,2022,0.5771,0.4769,0.5649,0.5587,0.5661,0.5726,0.5559
249,CAT,2023,0.5052,0.5447,0.5771,0.5649,0.5587,0.5661,0.5726
250,CMCSA,2014,0.3974,0.3546,,,,,
251,CMCSA,2015,0.4093,0.3308,0.3974,,,,
252,CMCSA,2016,0.4582,0.3232,0.4093,0.3974,,,
253,CMCSA,2017,0.4937,0.4212,0.4582,0.4093,0.3974,,
254,CMCSA,2018,0.4164,0.4532,0.4937,0.4582,0.4093,0.3974,
255,CMCSA,2019,0.5364,0.4736,0.4164,0.4937,0.4582,0.4093,0.3974
256,CMCSA,2020,0.5157,0.4562,0.5364,0.4164,0.4937,0.4582,0.4093
257,CMCSA,2021,0.5133,0.5476,0.5157,0.5364,0.4164,0.4937,0.4582
258,CMCSA,2022,0.5651,0.3968,0.5133,0.5157,0.5364,0.4164,0.4937
259,CMCSA,2023,0.498,0.4635,0.5651,0.5133,0.5157,0.5364,0.4164
260,CME,2014,0.3993,0.3484,,,,,
261,CME,2015,0.4258,0.3436,0.3993,,,,
262,CME,2016,0.4158,0.3404,0.4258,0.3993,,,
263,CME,2017,0.4502,0.397,0.4158,0.4258,0.3993,,
264,CME,2018,0.4836,0.4362,0.4502,0.4158,0.4258,0.3993,
265,CME,2019,0.4926,0.4105,0.4836,0.4502,0.4158,0.4258,0.3993
266,CME,2020,0.4816,0.4514,0.4926,0.4836,0.4502,0.4158,0.4258
267,CME,2021,0.4701,0.3859,0.4816,0.4926,0.4836,0.4502,0.4158
268,CME,2022,0.4346,0.3984,0.4701,0.4816,0.4926,0.4836,0.4502
269,CME,2023,0.4282,0.4251,0.4346,0.4701,0.4816,0.4926,0.4836
270,COP,2014,0.4142,0.4768,,,,,
271,COP,2015,0.3817,0.4031,0.4142,,,,
272,COP,2016,0.3704,0.3998,0.3817,0.4142,,,
273,COP,2017,0.5289,0.4302,0.3704,0.3817,0.4142,,
274,COP,2018,0.462,0.5378,0.5289,0.3704,0.3817,0.4142,
275,COP,2019,0.3072,0.4895,0.462,0.5289,0.3704,0.3817,0.4142
276,COP,2020,0.5423,0.444,0.3072,0.462,0.5289,0.3704,0.3817
277,COP,2021,0.5281,0.4449,0.5423,0.3072,0.462,0.5289,0.3704
278,COP,2022,0.4601,0.5017,0.5281,0.5423,0.3072,0.462,0.5289
279,COP,2023,0.4097,0.4614,0.4601,0.5281,0.5423,0.3072,0.462
280,COST,2014,0.6189,0.4144,,,,,
281,COST,2015,0.6063,0.4662,0.6189,,,,
282,COST,2016,0.3288,0.3195,0.6063,0.6189,,,
283,COST,2017,0.6339,0.4499,0.3288,0.6063,0.6189,,
284,COST,2018,0.6227,0.4129,0.6339,0.3288,0.6063,0.6189,
285,COST,2019,0.6335,0.4531,0.6227,0.6339,0.3288,0.6063,0.6189
286,COST,2020,0.6561,0.5083,0.6335,0.6227,0.6339,0.3288,0.6063
287,COST,2021,0.682,0.4623,0.6561,0.6335,0.6227,0.6339,0.3288
288,COST,2022,0.6783,0.4841,0.682,0.6561,0.6335,0.6227,0.6339
289,COST,2023,0.6937,0.5117,0.6783,0.682,0.6561,0.6335,0.6227
290,CRM,2014,0.5563,0.4878,,,,,
291,CRM,2015,0.4802,0.4365,0.5563,,,,
292,CRM,2016,0.5077,0.4063,0.4802,0.5563,,,
293,CRM,2017,0.6725,0.4831,0.5077,0.4802,0.5563,,
294,CRM,2018,0.5744,0.4629,0.6725,0.5077,0.4802,0.5563,
295,CRM,2019,0.6907,0.4632,0.5744,0.6725,0.5077,0.4802,0.5563
296,CRM,2020,0.5188,0.3859,0.6907,0.5744,0.6725,0.5077,0.4802
297,CRM,2021,0.6673,0.5631,0.5188,0.6907,0.5744,0.6725,0.5077
298,CRM,2022,0.5618,0.6803,0.6673,0.5188,0.6907,0.5744,0.6725
299,CRM,2023,0.5896,0.474,0.5618,0.6673,0.5188,0.6907,0.5744
300,CSCO,2014,0.4244,0.4423,,,,,
301,CSCO,2015,0.5148,0.4197,0.4244,,,,
302,CSCO,2016,0.5112,0.421,0.5148,0.4244,,,
303,CSCO,2017,0.4637,0.4366,0.5112,0.5148,0.4244,,
304,CSCO,2018,0.5141,0.6663,0.4637,0.5112,0.5148,0.4244,
305,CSCO,2019,0.6164,0.4687,0.5141,0.4637,0.5112,0.5148,0.4244
306,CSCO,2020,0.5484,0.4688,0.6164,0.5141,0.4637,0.5112,0.5148
307,CSCO,2021,0.5082,0.4657,0.5484,0.6164,0.5141,0.4637,0.5112
308,CSCO,2022,0.506,0.5162,0.5082,0.5484,0.6164,0.5141,0.4637
309,CSCO,2023,0.6396,0.4863,0.506,0.5082,0.5484,0.6164,0.5141
310,CVX,2014,0.2525,0.4736,,,,,
311,CVX,2015,0.2657,0.4891,0.2525,,,,
312,CVX,2016,0.3333,0.4436,0.2657,0.2525,,,
313,CVX,2017,0.624,0.4795,0.3333,0.2657,0.2525,,
314,CVX,2018,0.4885,0.4885,0.624,0.3333,0.2657,0.2525,
315,CVX,2019,0.5465,0.428,0.4885,0.624,0.3333,0.2657,0.2525
316,CVX,2020,0.585,0.4249,0.5465,0.4885,0.624,0.3333,0.2657
317,CVX,2021,0.4513,0.5104,0.585,0.5465,0.4885,0.624,0.3333
318,CVX,2022,0.5977,0.4689,0.4513,0.585,0.5465,0.4885,0.624
319,CVX,2023,0.5843,0.4936,0.5977,0.4513,0.585,0.5465,0.4885
320,DE,2014,0.4367,0.3854,,,,,
321,DE,2015,0.4324,0.4367,0.4367,,,,
322,DE,2016,0.435,0.3588,0.4324,0.4367,,,
323,DE,2017,0.4593,0.3662,0.435,0.4324,0.4367,,
324,DE,2018,0.4571,0.3626,0.4593,0.435,0.4324,0.4367,
325,DE,2019,0.4253,0.3375,0.4571,0.4593,0.435,0.4324,0.4367
326,DE,2020,0.4702,0.3557,0.4253,0.4571,0.4593,0.435,0.4324
327,DE,2021,0.4577,0.3581,0.4702,0.4253,0.4571,0.4593,0.435
328,DE,2022,0.4303,0.3907,0.4577,0.4702,0.4253,0.4571,0.4593
329,DE,2023,0.6206,0.323,0.4303,0.4577,0.4702,0.4253,0.4571
330,DHR,2014,0.4419,0.4973,,,,,
331,DHR,2015,0.5783,0.4707,0.4419,,,,
332,DHR,2016,0.6577,0.5226,0.5783,0.4419,,,
333,DHR,2017,0.6708,0.4927,0.6577,0.5783,0.4419,,
334,DHR,2018,0.6513,0.4414,0.6708,0.6577,0.5783,0.4419,
335,DHR,2019,0.8095,0.4826,0.6513,0.6708,0.6577,0.5783,0.4419
336,DHR,2020,0.6762,0.5347,0.8095,0.6513,0.6708,0.6577,0.5783
337,DHR,2021,0.5728,0.3714,0.6762,0.8095,0.6513,0.6708,0.6577
338,DHR,2022,0.6035,0.622,0.5728,0.6762,0.8095,0.6513,0.6708
339,DHR,2023,0.5598,0.4885,0.6035,0.5728,0.6762,0.8095,0.6513
340,DIS,2014,0.3914,0.3662,,,,,
341,DIS,2015,0.4986,0.3417,0.3914,,,,
342,DIS,2016,0.3708,0.3662,0.4986,0.3914,,,
343,DIS,2017,0.3725,0.3884,0.3708,0.4986,0.3914,,
344,DIS,2018,0.4229,0.4693,0.3725,0.3708,0.4986,0.3914,
345,DIS,2019,0.3188,0.458,0.4229,0.3725,0.3708,0.4986,0.3914
346,DIS,2020,0.5665,0.3996,0.3188,0.4229,0.3725,0.3708,0.4986
347,DIS,2021,0.6176,0.4048,0.5665,0.3188,0.4229,0.3725,0.3708
348,DIS,2022,0.697,0.6867,0.6176,0.5665,0.3188,0.4229,0.3725
349,DIS,2023,0.6936,0.6651,0.697,0.6176,0.5665,0.3188,0.4229
350,ELV,2014,0.5208,0.3587,,,,,
351,ELV,2015,0.4956,0.503,0.5208,,,,
352,ELV,2016,0.5766,0.3761,0.4956,0.5208,,,
353,ELV,2017,0.4633,0.2842,0.5766,0.4956,0.5208,,
354,ELV,2018,0.4898,0.3143,0.4633,0.5766,0.4956,0.5208,
355,ELV,2019,0.6103,0.6542,0.4898,0.4633,0.5766,0.4956,0.5208
356,ELV,2020,0.5528,0.3571,0.6103,0.4898,0.4633,0.5766,0.4956
357,ELV,2021,0.6119,0.412,0.5528,0.6103,0.4898,0.4633,0.5766
358,ELV,2022,0.5444,0.5128,0.6119,0.5528,0.6103,0.4898,0.4633
359,ELV,2023,0.6755,0.4822,0.5444,0.6119,0.5528,0.6103,0.4898
360,EQIX,2014,0.4506,0.6101,,,,,
361,EQIX,2015,0.4852,0.4953,0.4506,,,,
362,EQIX,2016,0.5711,0.6155,0.4852,0.4506,,,
363,EQIX,2017,0.5627,0.5491,0.5711,0.4852,0.4506,,
364,EQIX,2018,0.5505,0.3672,0.5627,0.5711,0.4852,0.4506,
365,EQIX,2019,0.578,0.4983,0.5505,0.5627,0.5711,0.4852,0.4506
366,EQIX,2020,0.5879,0.3865,0.578,0.5505,0.5627,0.5711,0.4852
367,EQIX,2021,0.5718,0.4698,0.5879,0.578,0.5505,0.5627,0.5711
368,EQIX,2022,0.5255,0.3433,0.5718,0.5879,0.578,0.5505,0.5627
