,ticker,year,IT,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
47,ADI,2021,0.4787,0.3396,0.4692,0.574,0.5432,0.5753,0.4418
48,ADI,2022,0.7129,0.5141,0.4787,0.4692,0.574,0.5432,0.5753
49,ADI,2023,0.8421,0.5683,0.7129,0.4787,0.4692,0.574,0.5432
50,ADP,2014,0.4686,0.5056,,,,,
51,ADP,2015,0.5597,0.5213,0.4686,,,,
52,ADP,2016,0.4995,0.5045,0.5597,0.4686,,,
53,ADP,2017,0.4777,0.4139,0.4995,0.5597,0.4686,,
54,ADP,2018,0.4575,0.4967,0.4777,0.4995,0.5597,0.4686,
55,ADP,2019,0.5642,0.493,0.4575,0.4777,0.4995,0.5597,0.4686
56,ADP,2020,0.5295,0.5383,0.5642,0.4575,0.4777,0.4995,0.5597
57,ADP,2021,0.492,0.4818,0.5295,0.5642,0.4575,0.4777,0.4995
58,ADP,2022,0.5019,0.5111,0.492,0.5295,0.5642,0.4575,0.4777
59,ADP,2023,0.5119,0.5446,0.5019,0.492,0.5295,0.5642,0.4575
60,AMAT,2014,0.4228,0.4624,,,,,
61,AMAT,2015,0.3713,0.4957,0.4228,,,,
62,AMAT,2016,0.4928,0.4814,0.3713,0.4228,,,
63,AMAT,2017,0.4771,0.5634,0.4928,0.3713,0.4228,,
64,AMAT,2018,0.5702,0.5444,0.4771,0.4928,0.3713,0.4228,
65,AMAT,2019,0.4595,0.4684,0.5702,0.4771,0.4928,0.3713,0.4228
66,AMAT,2020,0.5095,0.4853,0.4595,0.5702,0.4771,0.4928,0.3713
67,AMAT,2021,0.516,0.4731,0.5095,0.4595,0.5702,0.4771,0.4928
68,AMAT,2022,0.5229,0.4454,0.516,0.5095,0.4595,0.5702,0.4771
69,AMAT,2023,0.4214,0.4552,0.5229,0.516,0.5095,0.4595,0.5702
70,AMD,2014,0.644,0.4476,,,,,
71,AMD,2015,0.581,0.5192,0.644,,,,
72,AMD,2016,0.6202,0.3829,0.581,0.644,,,
73,AMD,2017,0.6534,0.2843,0.6202,0.581,0.644,,
74,AMD,2018,0.6147,0.3479,0.6534,0.6202,0.581,0.644,
75,AMD,2019,0.644,0.3881,0.6147,0.6534,0.6202,0.581,0.644
76,AMD,2020,0.5546,0.4002,0.644,0.6147,0.6534,0.6202,0.581
77,AMD,2021,0.5201,0.378,0.5546,0.644,0.6147,0.6534,0.6202
78,AMD,2022,0.5873,0.3796,0.5201,0.5546,0.644,0.6147,0.6534
79,AMD,2023,0.5363,0.4507,0.5873,0.5201,0.5546,0.644,0.6147
80,AMGN,2014,0.4939,0.1869,,,,,
81,AMGN,2015,0.4279,0.1957,0.4939,,,,
82,AMGN,2016,0.4176,0.3204,0.4279,0.4939,,,
83,AMGN,2017,0.4685,0.2831,0.4176,0.4279,0.4939,,
84,AMGN,2018,0.4874,0.2489,0.4685,0.4176,0.4279,0.4939,
85,AMGN,2019,0.3085,0.2042,0.4874,0.4685,0.4176,0.4279,0.4939
86,AMGN,2020,0.5113,0.3773,0.3085,0.4874,0.4685,0.4176,0.4279
87,AMGN,2021,0.4309,0.3977,0.5113,0.3085,0.4874,0.4685,0.4176
88,AMGN,2022,0.4995,0.3798,0.4309,0.5113,0.3085,0.4874,0.4685
89,AMGN,2023,0.4949,0.3132,0.4995,0.4309,0.5113,0.3085,0.4874
90,AMT,2014,0.6401,0.6366,,,,,
91,AMT,2015,0.6674,0.3193,0.6401,,,,
92,AMT,2016,0.462,0.3277,0.6674,0.6401,,,
93,AMT,2017,0.4377,0.3473,0.462,0.6674,0.6401,,
94,AMT,2018,0.4455,0.2938,0.4377,0.462,0.6674,0.6401,
95,AMT,2019,0.4409,0.3313,0.4455,0.4377,0.462,0.6674,0.6401
96,AMT,2020,0.6557,0.3216,0.4409,0.4455,0.4377,0.462,0.6674
97,AMT,2021,0.4948,0.4663,0.6557,0.4409,0.4455,0.4377,0.462
98,AMT,2022,0.4568,0.3415,0.4948,0.6557,0.4409,0.4455,0.4377
99,AMT,2023,0.443,0.3448,0.4568,0.4948,0.6557,0.4409,0.4455
100,AMZN,2014,0.5213,0.467,,,,,
101,AMZN,2015,0.5517,0.5419,0.5213,,,,
102,AMZN,2016,0.5178,0.5087,0.5517,0.5213,,,
103,AMZN,2017,0.5219,0.4477,0.5178,0.5517,0.5213,,
104,AMZN,2018,0.5412,0.5005,0.5219,0.5178,0.5517,0.5213,
105,AMZN,2019,0.4795,0.5073,0.5412,0.5219,0.5178,0.5517,0.5213
106,AMZN,2020,0.4823,0.4294,0.4795,0.5412,0.5219,0.5178,0.5517
107,AMZN,2021,0.5254,0.4523,0.4823,0.4795,0.5412,0.5219,0.5178
108,AMZN,2022,0.5183,0.4686,0.5254,0.4823,0.4795,0.5412,0.5219
109,AMZN,2023,0.5186,0.4522,0.5183,0.5254,0.4823,0.4795,0.5412
110,ANET,2014,0.3891,0.4714,,,,,
111,ANET,2015,0.5762,0.4237,0.3891,,,,
112,ANET,2016,0.5239,0.4881,0.5762,0.3891,,,
113,ANET,2017,0.4587,0.4897,0.5239,0.5762,0.3891,,
114,ANET,2018,0.4722,0.4405,0.4587,0.5239,0.5762,0.3891,
115,ANET,2019,0.4349,0.4962,0.4722,0.4587,0.5239,0.5762,0.3891
116,ANET,2020,0.4832,0.3703,0.4349,0.4722,0.4587,0.5239,0.5762
117,ANET,2021,0.504,0.38,0.4832,0.4349,0.4722,0.4587,0.5239
118,ANET,2022,0.4438,0.4275,0.504,0.4832,0.4349,0.4722,0.4587
119,ANET,2023,0.446,0.5948,0.4438,0.504,0.4832,0.4349,0.4722
120,APH,2014,0.4687,0.3853,,,,,
121,APH,2015,0.5881,0.4171,0.4687,,,,
122,APH,2016,0.4737,0.4249,0.5881,0.4687,,,
123,APH,2017,0.5582,0.3579,0.4737,0.5881,0.4687,,
124,APH,2018,0.4298,0.5298,0.5582,0.4737,0.5881,0.4687,
125,APH,2019,0.5086,0.466,0.4298,0.5582,0.4737,0.5881,0.4687
126,APH,2020,0.4847,0.4432,0.5086,0.4298,0.5582,0.4737,0.5881
127,APH,2021,0.6791,0.5674,0.4847,0.5086,0.4298,0.5582,0.4737
128,APH,2022,0.5248,0.6734,0.6791,0.4847,0.5086,0.4298,0.5582
129,APH,2023,0.5648,0.5294,0.5248,0.6791,0.4847,0.5086,0.4298
130,AVGO,2014,0.5427,0.3333,,,,,
131,AVGO,2015,0.587,0.4004,0.5427,,,,
132,AVGO,2016,0.54,0.3166,0.587,0.5427,,,
133,AVGO,2017,0.4239,0.3109,0.54,0.587,0.5427,,
134,AVGO,2018,0.43,0.3996,0.4239,0.54,0.587,0.5427,
135,AVGO,2019,0.501,0.5003,0.43,0.4239,0.54,0.587,0.5427
136,AVGO,2020,0.6585,0.495,0.501,0.43,0.4239,0.54,0.587
137,AVGO,2021,0.5141,0.4792,0.6585,0.501,0.43,0.4239,0.54
138,AVGO,2022,0.5232,0.4934,0.5141,0.6585,0.501,0.43,0.4239
139,AVGO,2023,0.439,0.4277,0.5232,0.5141,0.6585,0.501,0.43
140,AXP,2014,0.6034,0.4138,,,,,
141,AXP,2015,0.496,0.4177,0.6034,,,,
142,AXP,2016,0.4853,0.3444,0.496,0.6034,,,
143,AXP,2017,0.4944,0.5084,0.4853,0.496,0.6034,,
144,AXP,2018,0.4811,0.4811,0.4944,0.4853,0.496,0.6034,
145,AXP,2019,0.5653,0.5551,0.4811,0.4944,0.4853,0.496,0.6034
146,AXP,2020,0.595,0.4989,0.5653,0.4811,0.4944,0.4853,0.496
147,AXP,2021,0.5394,0.5324,0.595,0.5653,0.4811,0.4944,0.4853
148,AXP,2022,0.5146,0.5115,0.5394,0.595,0.5653,0.4811,0.4944
149,AXP,2023,0.5963,0.5167,0.5146,0.5394,0.595,0.5653,0.4811
150,BA,2014,0.3541,0.3715,,,,,
151,BA,2015,0.3958,0.3943,0.3541,,,,
152,BA,2016,0.3106,0.4203,0.3958,0.3541,,,
153,BA,2017,0.3001,0.4724,0.3106,0.3958,0.3541,,
154,BA,2018,0.5305,0.4032,0.3001,0.3106,0.3958,0.3541,
155,BA,2019,0.4891,0.3926,0.5305,0.3001,0.3106,0.3958,0.3541
156,BA,2020,0.3622,0.3875,0.4891,0.5305,0.3001,0.3106,0.3958
157,BA,2021,0.5836,0.4199,0.3622,0.4891,0.5305,0.3001,0.3106
158,BA,2022,0.4954,0.3802,0.5836,0.3622,0.4891,0.5305,0.3001
159,BA,2023,0.4685,0.374,0.4954,0.5836,0.3622,0.4891,0.5305
160,BAC,2014,0.7878,0.4201,,,,,
161,BAC,2015,0.4854,0.4302,0.7878,,,,
162,BAC,2016,0.6776,0.5681,0.4854,0.7878,,,
163,BAC,2017,0.56,0.6207,0.6776,0.4854,0.7878,,
164,BAC,2018,0.5697,0.5218,0.56,0.6776,0.4854,0.7878,
165,BAC,2019,0.5941,0.5254,0.5697,0.56,0.6776,0.4854,0.7878
166,BAC,2020,0.6338,0.4722,0.5941,0.5697,0.56,0.6776,0.4854
167,BAC,2021,0.6215,0.4907,0.6338,0.5941,0.5697,0.56,0.6776
168,BAC,2022,0.6231,0.6539,0.6215,0.6338,0.5941,0.5697,0.56
169,BAC,2023,0.5446,0.5656,0.6231,0.6215,0.6338,0.5941,0.5697
170,BKNG,2014,0.6052,0.456,,,,,
171,BKNG,2015,0.4481,0.4631,0.6052,,,,
172,BKNG,2016,0.3508,0.4887,0.4481,0.6052,,,
173,BKNG,2017,0.3594,0.4933,0.3508,0.4481,0.6052,,
174,BKNG,2018,0.3546,0.4513,0.3594,0.3508,0.4481,0.6052,
175,BKNG,2019,0.4599,0.4135,0.3546,0.3594,0.3508,0.4481,0.6052
176,BKNG,2020,0.3364,0.3848,0.4599,0.3546,0.3594,0.3508,0.4481
177,BKNG,2021,0.5016,0.4791,0.3364,0.4599,0.3546,0.3594,0.3508
178,BKNG,2022,0.471,0.4702,0.5016,0.3364,0.4599,0.3546,0.3594
179,BKNG,2023,0.6402,0.4769,0.471,0.5016,0.3364,0.4599,0.3546
180,BLK,2014,0.3954,0.4859,,,,,
181,BLK,2015,0.4804,0.4572,0.3954,,,,
182,BLK,2016,0.4444,0.5118,0.4804,0.3954,,,
183,BLK,2017,0.59,0.4504,0.4444,0.4804,0.3954,,
184,BLK,2018,0.5583,0.5355,0.59,0.4444,0.4804,0.3954,
185,BLK,2019,0.3662,0.6232,0.5583,0.59,0.4444,0.4804,0.3954
186,BLK,2020,0.3634,0.5308,0.3662,0.5583,0.59,0.4444,0.4804
187,BLK,2021,0.3736,0.5945,0.3634,0.3662,0.5583,0.59,0.4444
188,BLK,2022,0.3499,0.4677,0.3736,0.3634,0.3662,0.5583,0.59
189,BLK,2023,0.3894,0.5542,0.3499,0.3736,0.3634,0.3662,0.5583
190,BMY,2014,0.5002,0.2501,,,,,
191,BMY,2015,0.4042,0.3706,0.5002,,,,
192,BMY,2016,0.5064,0.2789,0.4042,0.5002,,,
193,BMY,2017,0.4826,0.2563,0.5064,0.4042,0.5002,,
194,BMY,2018,0.5003,0.1948,0.4826,0.5064,0.4042,0.5002,
195,BMY,2019,0.5089,0.2021,0.5003,0.4826,0.5064,0.4042,0.5002
196,BMY,2020,0.4461,0.3216,0.5089,0.5003,0.4826,0.5064,0.4042
197,BMY,2021,0.4746,0.3174,0.4461,0.5089,0.5003,0.4826,0.5064
198,BMY,2022,0.423,0.198,0.4746,0.4461,0.5089,0.5003,0.4826
199,BMY,2023,0.4129,0.3544,0.423,0.4746,0.4461,0.5089,0.5003
200,BRK-B,2014,0.5583,0.525,,,,,
201,BRK-B,2015,0.5677,0.5552,0.5583,,,,
202,BRK-B,2016,0.6168,0.4861,0.5677,0.5583,,,
203,BRK-B,2017,0.6724,0.5125,0.6168,0.5677,0.5583,,
204,BRK-B,2018,0.5602,0.4771,0.6724,0.6168,0.5677,0.5583,
205,BRK-B,2019,0.5181,0.5532,0.5602,0.6724,0.6168,0.5677,0.5583
206,BRK-B,2020,0.5264,0.6445,0.5181,0.5602,0.6724,0.6168,0.5677
207,BRK-B,2021,0.536,0.5885,0.5264,0.5181,0.5602,0.6724,0.6168
208,BRK-B,2022,0.5189,0.603,0.536,0.5264,0.5181,0.5602,0.6724
209,BRK-B,2023,0.566,0.5887,0.5189,0.536,0.5264,0.5181,0.5602
210,BSX,2014,0.5432,0.2256,,,,,
211,BSX,2015,0.5367,0.3343,0.5432,,,,
212,BSX,2016,0.5244,0.2718,0.5367,0.5432,,,
213,BSX,2017,0.5384,0.3835,0.5244,0.5367,0.5432,,
214,BSX,2018,0.4665,0.2397,0.5384,0.5244,0.5367,0.5432,
215,BSX,2019,0.3551,0.4854,0.4665,0.5384,0.5244,0.5367,0.5432
216,BSX,2020,0.5538,0.3911,0.3551,0.4665,0.5384,0.5244,0.5367
217,BSX,2021,0.5439,0.4565,0.5538,0.3551,0.4665,0.5384,0.5244
218,BSX,2022,0.601,0.5176,0.5439,0.5538,0.3551,0.4665,0.5384
219,BSX,2023,0.6031,0.3705,0.601,0.5439,0.5538,0.3551,0.4665
220,BX,2014,0.3728,0.4614,,,,,
221,BX,2015,0.4834,0.5483,0.3728,,,,
222,BX,2016,0.4766,0.4395,0.4834,0.3728,,,
223,BX,2017,0.3379,0.4545,0.4766,0.4834,0.3728,,
224,BX,2018,0.4136,0.445,0.3379,0.4766,0.4834,0.3728,
225,BX,2019,0.4875,0.4776,0.4136,0.3379,0.4766,0.4834,0.3728
226,BX,2020,0.4324,0.4004,0.4875,0.4136,0.3379,0.4766,0.4834
227,BX,2021,0.5041,0.403,0.4324,0.4875,0.4136,0.3379,0.4766
228,BX,2022,0.392,0.4409,0.5041,0.4324,0.4875,0.4136,0.3379
229,BX,2023,0.4819,0.5033,0.392,0.5041,0.4324,0.4875,0.4136
230,C,2014,0.6279,0.6392,,,,,
231,C,2015,0.6216,0.2785,0.6279,,,,
232,C,2016,0.3711,0.3623,0.6216,0.6279,,,
233,C,2017,0.4719,0.3002,0.3711,0.6216,0.6279,,
234,C,2018,0.538,0.3512,0.4719,0.3711,0.6216,0.6279,
235,C,2019,0.48,0.4254,0.538,0.4719,0.3711,0.6216,0.6279
236,C,2020,0.3328,0.4268,0.48,0.538,0.4719,0.3711,0.6216
237,C,2021,0.2298,0.4078,0.3328,0.48,0.538,0.4719,0.3711
238,C,2022,0.5537,0.2767,0.2298,0.3328,0.48,0.538,0.4719
239,C,2023,0.2653,0.4743,0.5537,0.2298,0.3328,0.48,0.538
240,CAT,2014,0.5557,0.4007,,,,,
241,CAT,2015,0.5945,0.4032,0.5557,,,,
242,CAT,2016,0.5555,0.5307,0.5945,0.5557,,,
243,CAT,2017,0.5729,0.5106,0.5555,0.5945,0.5557,,
244,CAT,2018,0.5271,0.6144,0.5729,0.5555,0.5945,0.5557,
245,CAT,2019,0.6269,0.509,0.5271,0.5729,0.5555,0.5945,0.5557
246,CAT,2020,0.4902,0.3974,0.6269,0.5271,0.5729,0.5555,0.5945
247,CAT,2021,0.4921,0.405,0.4902,0.6269,0.5271,0.5729,0.5555
248,CAT,2022,0.5121,0.4681,0.4921,0.4902,0.6269,0.5271,0.5729
249,CAT,2023,0.5475,0.5644,0.5121,0.4921,0.4902,0.6269,0.5271
250,CMCSA,2014,0.5002,0.3758,,,,,
251,CMCSA,2015,0.4036,0.3784,0.5002,,,,
252,CMCSA,2016,0.5103,0.3292,0.4036,0.5002,,,
253,CMCSA,2017,0.4323,0.3503,0.5103,0.4036,0.5002,,
254,CMCSA,2018,0.3971,0.6468,0.4323,0.5103,0.4036,0.5002,
255,CMCSA,2019,0.4139,0.4209,0.3971,0.4323,0.5103,0.4036,0.5002
256,CMCSA,2020,0.4775,0.3309,0.4139,0.3971,0.4323,0.5103,0.4036
257,CMCSA,2021,0.6693,0.4523,0.4775,0.4139,0.3971,0.4323,0.5103
258,CMCSA,2022,0.5351,0.4317,0.6693,0.4775,0.4139,0.3971,0.4323
259,CMCSA,2023,0.5448,0.403,0.5351,0.6693,0.4775,0.4139,0.3971
260,CME,2014,0.4703,0.3248,,,,,
261,CME,2015,0.3909,0.3229,0.4703,,,,
262,CME,2016,0.4287,0.34,0.3909,0.4703,,,
263,CME,2017,0.4427,0.3288,0.4287,0.3909,0.4703,,
264,CME,2018,0.4545,0.5283,0.4427,0.4287,0.3909,0.4703,
265,CME,2019,0.4628,0.4054,0.4545,0.4427,0.4287,0.3909,0.4703
266,CME,2020,0.4833,0.4221,0.4628,0.4545,0.4427,0.4287,0.3909
267,CME,2021,0.4876,0.4198,0.4833,0.4628,0.4545,0.4427,0.4287
268,CME,2022,0.4782,0.4051,0.4876,0.4833,0.4628,0.4545,0.4427
269,CME,2023,0.4642,0.3955,0.4782,0.4876,0.4833,0.4628,0.4545
270,COP,2014,0.2604,0.5053,,,,,
271,COP,2015,0.2508,0.5672,0.2604,,,,
272,COP,2016,0.2697,0.4827,0.2508,0.2604,,,
273,COP,2017,0.4295,0.479,0.2697,0.2508,0.2604,,
274,COP,2018,0.4636,0.4113,0.4295,0.2697,0.2508,0.2604,
275,COP,2019,0.7738,0.4419,0.4636,0.4295,0.2697,0.2508,0.2604
276,COP,2020,0.6157,0.547,0.7738,0.4636,0.4295,0.2697,0.2508
277,COP,2021,0.4265,0.4191,0.6157,0.7738,0.4636,0.4295,0.2697
278,COP,2022,0.471,0.518,0.4265,0.6157,0.7738,0.4636,0.4295
279,COP,2023,0.4016,0.4551,0.471,0.4265,0.6157,0.7738,0.4636
280,COST,2014,0.6192,0.4594,,,,,
281,COST,2015,0.6213,0.4024,0.6192,,,,
282,COST,2016,0.5802,0.3156,0.6213,0.6192,,,
283,COST,2017,0.6339,0.445,0.5802,0.6213,0.6192,,
284,COST,2018,0.6325,0.4189,0.6339,0.5802,0.6213,0.6192,
285,COST,2019,0.6361,0.4223,0.6325,0.6339,0.5802,0.6213,0.6192
286,COST,2020,0.6748,0.5109,0.6361,0.6325,0.6339,0.5802,0.6213
287,COST,2021,0.6867,0.4536,0.6748,0.6361,0.6325,0.6339,0.5802
288,COST,2022,0.6202,0.5052,0.6867,0.6748,0.6361,0.6325,0.6339
289,COST,2023,0.6965,0.4436,0.6202,0.6867,0.6748,0.6361,0.6325
290,CRM,2014,0.6649,0.4856,,,,,
291,CRM,2015,0.7351,0.4501,0.6649,,,,
292,CRM,2016,0.5237,0.3963,0.7351,0.6649,,,
293,CRM,2017,0.7518,0.4561,0.5237,0.7351,0.6649,,
294,CRM,2018,0.5644,0.503,0.7518,0.5237,0.7351,0.6649,
295,CRM,2019,0.6687,0.4415,0.5644,0.7518,0.5237,0.7351,0.6649
296,CRM,2020,0.443,0.3926,0.6687,0.5644,0.7518,0.5237,0.7351
297,CRM,2021,0.6638,0.5167,0.443,0.6687,0.5644,0.7518,0.5237
298,CRM,2022,0.6956,0.5019,0.6638,0.443,0.6687,0.5644,0.7518
299,CRM,2023,0.6874,0.4979,0.6956,0.6638,0.443,0.6687,0.5644
300,CSCO,2014,0.4383,0.428,,,,,
301,CSCO,2015,0.4501,0.4021,0.4383,,,,
302,CSCO,2016,0.4692,0.3904,0.4501,0.4383,,,
303,CSCO,2017,0.5769,0.4328,0.4692,0.4501,0.4383,,
304,CSCO,2018,0.6023,0.5539,0.5769,0.4692,0.4501,0.4383,
305,CSCO,2019,0.6315,0.5731,0.6023,0.5769,0.4692,0.4501,0.4383
306,CSCO,2020,0.5093,0.4242,0.6315,0.6023,0.5769,0.4692,0.4501
307,CSCO,2021,0.6051,0.525,0.5093,0.6315,0.6023,0.5769,0.4692
308,CSCO,2022,0.6536,0.4688,0.6051,0.5093,0.6315,0.6023,0.5769
309,CSCO,2023,0.5378,0.4446,0.6536,0.6051,0.5093,0.6315,0.6023
310,CVX,2014,0.2763,0.4623,,,,,
311,CVX,2015,0.2778,0.444,0.2763,,,,
312,CVX,2016,0.3529,0.4694,0.2778,0.2763,,,
313,CVX,2017,0.6165,0.4599,0.3529,0.2778,0.2763,,
314,CVX,2018,0.5901,0.4479,0.6165,0.3529,0.2778,0.2763,
315,CVX,2019,0.43,0.4679,0.5901,0.6165,0.3529,0.2778,0.2763
316,CVX,2020,0.6473,0.4804,0.43,0.5901,0.6165,0.3529,0.2778
317,CVX,2021,0.3921,0.5658,0.6473,0.43,0.5901,0.6165,0.3529
318,CVX,2022,0.5675,0.4918,0.3921,0.6473,0.43,0.5901,0.6165
319,CVX,2023,0.4347,0.4783,0.5675,0.3921,0.6473,0.43,0.5901
320,DE,2014,0.4495,0.3469,,,,,
321,DE,2015,0.4599,0.4357,0.4495,,,,
322,DE,2016,0.4546,0.4176,0.4599,0.4495,,,
323,DE,2017,0.435,0.3622,0.4546,0.4599,0.4495,,
324,DE,2018,0.4728,0.3099,0.435,0.4546,0.4599,0.4495,
325,DE,2019,0.454,0.339,0.4728,0.435,0.4546,0.4599,0.4495
326,DE,2020,0.4457,0.4235,0.454,0.4728,0.435,0.4546,0.4599
327,DE,2021,0.4109,0.3998,0.4457,0.454,0.4728,0.435,0.4546
328,DE,2022,0.431,0.3709,0.4109,0.4457,0.454,0.4728,0.435
329,DE,2023,0.6195,0.3983,0.431,0.4109,0.4457,0.454,0.4728
330,DHR,2014,0.5429,0.471,,,,,
331,DHR,2015,0.4324,0.4562,0.5429,,,,
332,DHR,2016,0.6525,0.5209,0.4324,0.5429,,,
333,DHR,2017,0.7572,0.561,0.6525,0.4324,0.5429,,
334,DHR,2018,0.7283,0.5408,0.7572,0.6525,0.4324,0.5429,
335,DHR,2019,0.628,0.5004,0.7283,0.7572,0.6525,0.4324,0.5429
336,DHR,2020,0.775,0.4778,0.628,0.7283,0.7572,0.6525,0.4324
337,DHR,2021,0.591,0.4322,0.775,0.628,0.7283,0.7572,0.6525
338,DHR,2022,0.6929,0.4649,0.591,0.775,0.628,0.7283,0.7572
339,DHR,2023,0.6393,0.4685,0.6929,0.591,0.775,0.628,0.7283
340,DIS,2014,0.3702,0.4481,,,,,
341,DIS,2015,0.3724,0.469,0.3702,,,,
342,DIS,2016,0.4036,0.4787,0.3724,0.3702,,,
343,DIS,2017,0.3715,0.4045,0.4036,0.3724,0.3702,,
344,DIS,2018,0.4398,0.416,0.3715,0.4036,0.3724,0.3702,
345,DIS,2019,0.3188,0.458,0.4398,0.3715,0.4036,0.3724,0.3702
346,DIS,2020,0.4887,0.4173,0.3188,0.4398,0.3715,0.4036,0.3724
347,DIS,2021,0.6394,0.495,0.4887,0.3188,0.4398,0.3715,0.4036
348,DIS,2022,0.6039,0.6113,0.6394,0.4887,0.3188,0.4398,0.3715
349,DIS,2023,0.6144,0.7738,0.6039,0.6394,0.4887,0.3188,0.4398
350,ELV,2014,0.6053,0.7694,,,,,
351,ELV,2015,0.4836,0.6304,0.6053,,,,
352,ELV,2016,0.7533,0.3577,0.4836,0.6053,,,
353,ELV,2017,0.7861,0.276,0.7533,0.4836,0.6053,,
354,ELV,2018,0.5842,0.5254,0.7861,0.7533,0.4836,0.6053,
355,ELV,2019,0.5851,0.298,0.5842,0.7861,0.7533,0.4836,0.6053
356,ELV,2020,0.5811,0.5123,0.5851,0.5842,0.7861,0.7533,0.4836
357,ELV,2021,0.6972,0.4119,0.5811,0.5851,0.5842,0.7861,0.7533
358,ELV,2022,0.6775,0.4761,0.6972,0.5811,0.5851,0.5842,0.7861
359,ELV,2023,0.6261,0.4877,0.6775,0.6972,0.5811,0.5851,0.5842
360,EQIX,2014,0.5095,0.4924,,,,,
361,EQIX,2015,0.49,0.5232,0.5095,,,,
362,EQIX,2016,0.5677,0.3307,0.49,0.5095,,,
363,EQIX,2017,0.5451,0.4734,0.5677,0.49,0.5095,,
364,EQIX,2018,0.5457,0.5301,0.5451,0.5677,0.49,0.5095,
365,EQIX,2019,0.526,0.4986,0.5457,0.5451,0.5677,0.49,0.5095
366,EQIX,2020,0.6049,0.3894,0.526,0.5457,0.5451,0.5677,0.49
367,EQIX,2021,0.5811,0.4098,0.6049,0.526,0.5457,0.5451,0.5677
368,EQIX,2022,0.4962,0.367,0.5811,0.6049,0.526,0.5457,0.5451
369,EQIX,2023,0.5308,0.3423,0.4962,0.5811,0.6049,0.526,0.5457
